id;creation_date;publication_date;headline;leadtext;bodytext;quote;conclusion;link_text;link_url;image;image_content_type;appuser_id;blog_id
1;2021-06-22T18:17:49;2021-06-22T12:30:30;mesh EXE Orchestrator;action-items;Hat;help-desk Tools Loan;magenta mission-critical New;revolutionize Markets;Dominica;../fake-data/blob/hipster.png;image/png;1;1
2;2021-06-22T18:47:15;2021-06-22T05:21:57;bypassing Common;backing;payment Identity;PCI Home;Shoes;plum withdrawal Sleek;Checking Digitized;../fake-data/blob/hipster.png;image/png;2;2
3;2021-06-22T16:06:13;2021-06-22T14:48:07;innovative Avon transform;Technician;XSS connecting;clicks-and-mortar Handmade;Manager;redefine PCI;withdrawal matrix synergize;../fake-data/blob/hipster.png;image/png;1;3
4;2021-06-22T08:00:10;2021-06-22T21:46:16;generate Rhode connecting;Gateway deposit;Cotton Administrator;Awesome payment Cross-group;Optional;Executive Fantastic;bypassing Savings Solutions;../fake-data/blob/hipster.png;image/png;2;4
5;2021-06-22T11:16:26;2021-06-23T04:14:33;Kids;copy;Bedfordshire metrics;Utah connecting;frictionless;Ergonomic input;pricing contingency;../fake-data/blob/hipster.png;image/png;1;5
6;2021-06-22T07:27:19;2021-06-22T07:29:15;Montana object-oriented;Producer protocol;withdrawal;Berkshire Frozen;Cambridgeshire;Small Ergonomic Kentucky;ability synthesize;../fake-data/blob/hipster.png;image/png;2;6
7;2021-06-23T04:50:48;2021-06-23T04:27:01;U.S.;payment Massachusetts;SMTP;Director microchip magenta;Gorgeous Borders Peso;Intuitive generate deliverables;Rubber;../fake-data/blob/hipster.png;image/png;2;7
8;2021-06-22T12:27:53;2021-06-22T23:04:55;array array workforce;Applications Associate;markets;Upgradable Research recontextualize;Germany invoice;Saint;Sausages Refined;../fake-data/blob/hipster.png;image/png;2;8
9;2021-06-22T17:07:38;2021-06-22T19:08:34;Pizza Uzbekistan;Dollar Tools;Chief Benin turn-key;Loan Hat Rustic;deposit Chicken;needs-based Human redundant;Steel generate Mayen;../fake-data/blob/hipster.png;image/png;1;9
10;2021-06-22T21:16:18;2021-06-22T22:12:48;payment;ADP standardization capability;compelling;program Account California;synergies;impactful Account;quantify Keyboard;../fake-data/blob/hipster.png;image/png;1;10
